r_fighter,b_fighter,b_sig_str,b_td,finish_round,method,r_sig_str,r_td,time_sec,winner,winner_fighter
Adrian Yanez,Daniel Marcos,46.49,1.0,1.65,Decision - Unanimous,30.27,0.0,187.57378,Red Corner,Adrian Yanez
Adrian Yanez,Vinicius Salvador,77.9,1.0,1.71,Decision - Unanimous,29.16,0.0,209.28548,Red Corner,Adrian Yanez
Alex Caceres,Sean Woodson,82.79,1.0,2.6,Decision - Unanimous,83.01,1.0,266.244,Red Corner,Alex Caceres
Alex Pereira,Jamahal Hill,165.44,0.0,2.34,Decision - Unanimous,108.38,0.0,165.84325,Red Corner,Alex Pereira
Alexa Grasso,Valentina Shevchenko,77.07,1.0,2.88,Decision - Unanimous,153.85,1.0,291.20712,Red Corner,Alexa Grasso
Alexander Hernandez,Damon Jackson,69.33,1.0,2.53,Decision - Unanimous,71.98,1.0,277.22903,Blue Corner,Damon Jackson
Alexandre Pantoja,Steve Erceg,30.09,1.0,1.74,Decision - Unanimous,31.13,1.0,233.87282,Red Corner,Alexandre Pantoja
Amanda Lemos,Virna Jandiroba,21.14,1.0,1.66,Decision - Unanimous,7.87,1.0,205.71948,Red Corner,Amanda Lemos
Andre Petroski,Jacob Malkoun,38.52,6.52,1.08,Decision - Unanimous,0.0,1.0,198.85942,Blue Corner,Jacob Malkoun
Andrea Lee,Montana De La Rosa,5.39,1.0,1.4,Decision - Unanimous,43.55,2.05,186.36484,Red Corner,Andrea Lee
Andrei Arlovski,Martin Buday,39.43,1.0,1.03,KO/TKO,7.1,1.0,103.42432,Blue Corner,Martin Buday
Angela Hill,Tabatha Ricci,28.89,2.19,2.23,Decision - Unanimous,63.99,1.0,264.66998,Red Corner,Angela Hill
Anthony Hernandez,Michel Pereira,5.53,1.0,1.15,Decision - Unanimous,33.93,4.08,107.46572,Blue Corner,Michel Pereira
Anthony Smith,Roman Dolidze,64.53,1.0,2.11,Decision - Unanimous,30.62,1.0,282.2319,Red Corner,Anthony Smith
Ariane Lipski,Jasmine Jasudavicius,83.34,6.13,3.12,Decision - Unanimous,67.99,1.0,223.12633,Red Corner,Ariane Lipski
Arnold Allen,Giga Chikadze,121.58,1.0,3.35,Decision - Unanimous,57.52,1.0,242.9893,Red Corner,Arnold Allen
Austin Hubbard,Alexander Hernandez,101.84,1.0,3.11,Decision - Unanimous,56.8,1.0,223.07222,Red Corner,Austin Hubbard
Austin Hubbard,Michal Figlak,28.63,1.0,2.3,Decision - Unanimous,57.97,1.0,277.54742,Red Corner,Austin Hubbard
Bill Algeo,Kyle Nelson,78.98,0.0,2.2,Decision - Unanimous,66.47,1.0,263.40057,Red Corner,Bill Algeo
Bo Nickal,Cody Brundage,8.34,1.0,0.03,Decision - Unanimous,6.59,1.0,91.68625,Red Corner,Bo Nickal
Bo Nickal,Paul Craig,7.85,1.0,0.03,Decision - Unanimous,6.5,1.0,114.93484,Red Corner,Bo Nickal
Brad Katona,Jesse Butler,0.3,0.0,1.5,Decision - Unanimous,66.28,1.09,189.67981,Red Corner,Brad Katona
Brady Hiestand,Garrett Armfield,100.17,0.0,3.07,Submission,40.39,3.03,187.23695,Red Corner,Brady Hiestand
Brandon Moreno,Amir Albazi,48.9,4.98,2.72,Decision - Unanimous,114.34,1.0,279.57422,Red Corner,Brandon Moreno
Brendan Allen,Chris Curtis,35.74,0.0,1.63,Decision - Unanimous,26.58,1.0,190.99522,Blue Corner,Chris Curtis
Brian Kelleher,Cody Gibson,30.61,1.0,1.01,Decision - Unanimous,0.93,1.0,134.06174,Red Corner,Brian Kelleher
Brian Ortega,Diego Lopes,33.79,0.0,1.27,Decision - Unanimous,21.89,1.0,122.63922,Red Corner,Brian Ortega
Bryce Mitchell,Kron Gracie,90.3,1.0,1.62,KO/TKO,18.22,1.96,235.97578,Red Corner,Bryce Mitchell
Calvin Kattar,Aljamain Sterling,104.87,5.17,1.57,Decision - Unanimous,9.88,1.0,207.11191,Blue Corner,Aljamain Sterling
Carla Esparza,Tecia Torres,74.2,1.0,1.38,Decision - Unanimous,9.64,3.97,188.46646,Blue Corner,Tecia Torres
Chad Anheliger,Cody Gibson,23.49,1.0,1.88,Decision - Unanimous,25.53,1.14,189.19229,Red Corner,Chad Anheliger
Charles Johnson,Jake Hadley,26.94,0.0,2.13,Decision - Unanimous,66.32,0.0,263.64435,Red Corner,Charles Johnson
Charles Jourdain,Jean Silva,21.22,1.0,2.01,Decision - Unanimous,63.33,1.0,228.25789,Red Corner,Charles Jourdain
Charles Jourdain,Victor Henry,54.16,0.0,2.2,Decision - Unanimous,63.31,1.0,274.77112,Red Corner,Charles Jourdain
Charles Oliveira,Arman Tsarukyan,8.06,1.01,0.02,Decision - Unanimous,9.48,1.0,95.59417,Red Corner,Charles Oliveira
Charles Oliveira,Michael Chandler,41.52,1.0,1.21,Decision - Unanimous,7.76,1.0,162.09172,Blue Corner,Michael Chandler
Chase Hooper,Viacheslav Borshchev,83.7,0.0,1.14,KO/TKO,1.56,1.0,156.01932,Red Corner,Chase Hooper
